nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
Ana Liz Pereira,19/05/2000,"25/05/1995, Silva, MA",18/12/2021,26/07/2030,62428388 SSP MA,658.029.134-60,54626109897,CE,BRASILEIRO(A),Dr. Josué Peixoto,Luiza Fogaça
Isabella da Paz,20/12/2002,"03/05/1994, Marques, ES",21/03/2024,04/08/2027,66138752 SSP ES,378.946.102-40,20669411033,BE,BRASILEIRO(A),Otto Novaes,Júlia Silveira
João Lucas Barros,06/12/2003,"18/05/1964, Silveira de Lopes, CE",27/10/2021,01/01/2027,83411092 SSP CE,431.265.708-44,77034814044,A,BRASILEIRO(A),Luiz Fernando Ferreira,Stephany Casa Grande
Sara Nascimento,17/04/2002,"16/04/1967, da Costa, AL",06/09/2024,17/07/2029,93973463 SSP AL,193.645.270-70,65971608768,ACC,BRASILEIRO(A),Oliver Lima,Raquel Teixeira
Eloá Casa Grande,08/03/2000,"22/12/1955, Nogueira Verde, SP",07/08/2023,30/08/2026,61817016 SSP SP,830.276.941-03,35458762299,DE,BRASILEIRO(A),Vitor Gabriel Campos,Allana Teixeira
Marcela Duarte,01/06/1997,"07/08/1988, Barros, AM",21/11/2023,13/08/2029,63479673 SSP AM,503.189.762-77,89754062992,A,BRASILEIRO(A),Oliver Gomes,Mariana Correia
Rafaela Brito,13/09/2000,"23/08/1963, Montenegro de Minas, MA",26/11/2020,08/07/2029,33958991 SSP MA,952.043.867-00,45826053697,BE,BRASILEIRO(A),João Gabriel Aparecida,Mariah Barros
Luara da Mata,07/01/1998,"01/08/1975, Araújo, SP",19/12/2022,13/05/2028,75603863 SSP SP,763.520.184-08,32161101328,BE,BRASILEIRO(A),Pedro Miguel Farias,Maria Fernanda Teixeira
Gustavo Henrique Garcia,07/02/2002,"06/07/1992, Silva do Oeste, AP",11/04/2023,22/07/2027,75441368 SSP AP,396.742.150-34,13930143905,D1,BRASILEIRO(A),Luan Cardoso,Luana da Conceição
Ana Cecília Montenegro,12/01/2002,"28/02/1964, Azevedo, DF",30/05/2021,03/11/2029,78313986 SSP DF,312.608.754-07,43133664355,D,BRASILEIRO(A),Otto Aparecida,Ana Cecília Santos
Léo Rezende,16/10/1997,"18/08/1961, Araújo, RR",19/05/2021,08/11/2027,40992395 SSP RR,935.248.670-65,99678268982,A,BRASILEIRO(A),Cauã Vieira,Laís Dias
Murilo Monteiro,11/08/2005,"17/07/1978, da Mata, SE",08/01/2024,30/11/2027,57126199 SSP SE,079.268.451-67,97130715861,B,BRASILEIRO(A),Dr. Ian Araújo,Ana Lívia Porto
Ana Luiza da Rosa,17/11/2003,"17/02/1998, Sales Paulista, PA",21/04/2023,06/09/2032,23430475 SSP PA,546.291.738-46,56244756128,D,BRASILEIRO(A),Heitor Marques,Ana Clara Sá
Bianca Porto,30/01/2007,"23/03/1978, Nunes, BA",30/06/2023,02/09/2029,46143616 SSP BA,607.854.291-58,85019614702,A1,BRASILEIRO(A),Sr. Breno da Rosa,Rafaela Lopes
Helena Teixeira,19/04/2002,"22/03/1961, Moraes, SC",28/05/2025,20/08/2033,92277413 SSP SC,085.921.634-98,97162000495,A,BRASILEIRO(A),Pedro Borges,Sra. Maria Luísa Garcia
Fernanda Almeida,28/10/1999,"15/07/1975, Barbosa, RN",26/03/2025,21/01/2029,27001886 SSP RN,405.678.139-75,37745594797,C1E,BRASILEIRO(A),Benício Mendes,Vitória Marques
Dra. Bruna Andrade,02/07/2000,"15/03/1983, Porto de da Rosa, RJ",24/01/2022,28/01/2026,12565663 SSP RJ,174.026.893-87,63105184763,C1,BRASILEIRO(A),João Felipe Barbosa,Isadora Duarte
Bryan Fernandes,14/04/2003,"19/01/1970, Peixoto do Sul, PR",26/12/2021,22/12/2028,57164765 SSP PR,295.810.473-79,24128910424,D1,BRASILEIRO(A),Lucas Freitas,Clara Moraes
Dr. Dante Farias,15/10/1999,"26/10/1963, Montenegro Alegre, RO",28/05/2021,02/06/2024,86907794 SSP RO,349.016.578-01,87811968659,BE,BRASILEIRO(A),Alexandre Alves,Maria Luiza Casa Grande
João Gabriel Santos,13/05/1998,"15/12/1995, Câmara, AL",03/04/2025,27/07/2033,37590968 SSP AL,076.543.981-66,84962476429,BE,BRASILEIRO(A),Kevin da Cruz,Maria Fernanda Cavalcanti
Breno da Mota,19/09/2003,"29/06/1988, Santos da Prata, MT",04/04/2021,03/05/2028,47668802 SSP MT,382.096.514-98,56891780916,C1E,BRASILEIRO(A),Dante Camargo,Joana Rodrigues
Cauã Araújo,14/03/2003,"26/01/1959, Moura, DF",18/09/2021,03/04/2027,43186242 SSP DF,347.265.890-83,21213464244,D1E,BRASILEIRO(A),Liam Sales,Sra. Cecília Sampaio
João Guilherme Pereira,09/05/2005,"03/06/1975, Rocha, PR",27/02/2023,12/03/2028,88347910 SSP PR,035.128.746-90,11249192342,C1,BRASILEIRO(A),Fernando Costela,Clara Pereira
Sr. Leandro Pires,25/03/1999,"08/08/1956, da Mota, ES",05/03/2025,27/01/2031,37310112 SSP ES,936.051.872-77,98517309003,BE,BRASILEIRO(A),Fernando da Luz,Olivia Farias
Sr. Juan Garcia,19/03/2000,"18/03/1975, Farias, MA",01/11/2024,18/05/2031,48487119 SSP MA,503.918.647-93,49560957917,C,BRASILEIRO(A),Anthony Abreu,Manuella Cardoso
Luana Fernandes,14/10/2007,"07/08/1959, Siqueira, PE",17/03/2022,22/01/2029,63030996 SSP PE,438.065.912-70,53498713879,A1,BRASILEIRO(A),Pedro Lucas Moura,Luna Fernandes
Arthur Marques,31/10/1999,"29/04/1976, Freitas, AM",30/04/2023,02/02/2032,96022959 SSP AM,836.459.217-37,82463497456,DE,BRASILEIRO(A),João Pedro Sousa,Srta. Maria Costa
Luana Andrade,10/06/1998,"06/03/1966, Casa Grande das Flores, RR",21/12/2022,08/06/2030,32043540 SSP RR,785.142.903-04,61877610617,C,BRASILEIRO(A),Sr. Pedro Lucas Pinto,Dra. Maria Júlia Rezende
Dra. Maria Flor Correia,18/04/1998,"01/11/1990, Freitas, MA",02/05/2021,24/11/2029,29785404 SSP MA,815.739.064-84,66025976572,C1E,BRASILEIRO(A),Henry Gabriel Almeida,Milena Montenegro
Agatha Vieira,07/01/1996,"27/06/1985, Aragão, PI",14/12/2024,15/08/2029,82718868 SSP PI,051.964.273-25,44501475802,C,BRASILEIRO(A),Lucas Macedo,Maria Helena Vieira
Agatha Rodrigues,17/10/2001,"09/05/1978, Aparecida, MT",14/07/2024,05/08/2030,12606807 SSP MT,597.418.062-30,78952874258,D1E,BRASILEIRO(A),Ravi Lucca Silveira,Amanda Barros
Emanuel Guerra,25/09/2006,"05/06/1971, da Rocha de Minas, TO",02/12/2023,04/12/2026,39705660 SSP TO,605.418.972-76,30657939663,A1,BRASILEIRO(A),Dr. Otávio Pastor,Emanuelly Nunes
Ester Dias,16/12/2005,"09/06/1967, Rezende de Cassiano, AC",28/11/2020,05/04/2030,34086190 SSP AC,061.843.579-48,46206339853,DE,BRASILEIRO(A),Otávio Vargas,Maria Helena Novais
Cauã Porto,15/05/1998,"10/05/1980, das Neves, PE",04/05/2021,21/09/2024,33565083 SSP PE,830.154.276-44,65481106030,D1E,BRASILEIRO(A),Vitor Hugo Rezende,Letícia Caldeira
Maitê Rocha,25/09/2007,"20/12/2002, da Rocha de Carvalho, AC",31/07/2022,15/11/2027,62040213 SSP AC,306.798.412-96,23552663681,C,BRASILEIRO(A),Felipe Melo,Dra. Stella Jesus
Maria Liz Jesus,04/04/2002,"11/04/1973, Santos, AP",01/12/2021,02/04/2031,27295586 SSP AP,649.208.735-65,60537720173,B1,BRASILEIRO(A),Vinícius Gonçalves,Anna Liz Brito
Dr. Nathan Pires,17/09/1996,"03/07/2001, Santos, PR",13/07/2022,04/02/2029,40578613 SSP PR,694.082.517-76,51214229893,C,BRASILEIRO(A),Mathias Garcia,Srta. Isabella Mendes
Maria Clara da Mata,29/03/2002,"13/06/1959, Barros, RR",17/04/2024,02/08/2029,83985028 SSP RR,675.432.891-64,74158147940,C1E,BRASILEIRO(A),Luiz Gustavo Souza,Isabelly Melo
Emanuelly Nogueira,03/05/2005,"26/02/1973, da Costa de Goiás, RJ",30/07/2024,23/09/2032,76558991 SSP RJ,498.052.376-56,58617706262,CE,BRASILEIRO(A),Breno Pastor,Nicole Lopes
Henry Gabriel Nunes,26/11/1995,"13/10/1959, Lopes, PB",12/01/2022,08/02/2030,85625769 SSP PB,895.173.460-93,52334718358,D,BRASILEIRO(A),Diego Vieira,Mariah Cavalcanti
Maria Júlia Leão,13/08/1998,"07/05/1966, Macedo da Mata, RS",01/04/2023,19/11/2026,66077594 SSP RS,960.825.743-38,16355773788,D,BRASILEIRO(A),Antônio Sá,Evelyn Azevedo
Hellena Caldeira,20/01/2003,"30/12/1956, Casa Grande de Nunes, RR",27/11/2023,07/09/2027,13004099 SSP RR,906.385.412-98,60993999559,D,BRASILEIRO(A),Felipe Machado,Aylla Azevedo
João Vitor da Paz,23/12/1999,"28/10/1964, Cassiano Grande, ES",29/04/2022,22/09/2026,90253674 SSP ES,253.480.617-35,65415523465,C1E,BRASILEIRO(A),Renan Costela,Sra. Raquel Barbosa
Liam Fernandes,02/07/1998,"02/02/1960, Santos de Freitas, RS",01/04/2024,24/08/2031,38679694 SSP RS,418.370.569-00,33490878744,B1,BRASILEIRO(A),Augusto da Mata,Sara Pinto
Vinicius Andrade,09/04/1998,"16/12/1972, Lima de Andrade, MG",04/08/2025,16/10/2033,99398400 SSP MG,940.528.317-05,48969648563,A,BRASILEIRO(A),Guilherme Correia,Maria Souza
Liz da Rocha,18/09/2003,"17/01/1966, Cardoso dos Dourados, PI",03/11/2020,07/06/2028,33313059 SSP PI,564.981.327-28,30512313528,ACC,BRASILEIRO(A),Lorenzo Duarte,Sophie Alves
Ryan Castro,06/05/2007,"02/01/1994, Nogueira Paulista, RO",07/04/2024,11/09/2033,57003765 SSP RO,185.247.360-62,89900672615,BE,BRASILEIRO(A),João Guilherme Jesus,Luara Gonçalves
Alexandre Lima,01/06/1997,"03/01/1959, Ramos, CE",29/05/2021,05/09/2024,24618219 SSP CE,861.493.527-73,50156938427,C1,BRASILEIRO(A),João Almeida,Dra. Maria Pereira
Matheus Macedo,20/05/2007,"21/07/2002, Pereira da Serra, CE",03/12/2022,16/08/2027,97270059 SSP CE,796.412.805-11,64385031238,B1,BRASILEIRO(A),João da Rocha,Sofia Câmara
Maria Julia Rios,04/06/2002,"31/01/2006, Sampaio, RJ",15/12/2020,23/04/2024,32775716 SSP RJ,254.019.863-51,60999206428,D1,BRASILEIRO(A),Isaque Ramos,Srta. Isabella Pinto
Isabel Duarte,22/02/2004,"02/07/1972, Cavalcante, SC",22/10/2024,05/11/2029,92755297 SSP SC,496.013.578-66,55707039319,C1,BRASILEIRO(A),Matheus Carvalho,Juliana Casa Grande
Ana Freitas,16/11/2004,"14/10/1987, Pinto, DF",01/06/2024,16/04/2029,93875648 SSP DF,715.623.890-68,23690183289,B1,BRASILEIRO(A),Oliver Azevedo,Srta. Maria Luiza Ribeiro
Marcelo Almeida,10/10/2005,"07/12/1963, Silva, PB",21/07/2021,21/07/2028,54174858 SSP PB,419.270.365-34,35904215996,C1E,BRASILEIRO(A),Breno Carvalho,Anna Liz Barros
Antônio Sales,23/11/1999,"13/02/1972, Cavalcanti, SC",13/06/2022,12/09/2028,40789625 SSP SC,106.849.752-11,11482633204,ACC,BRASILEIRO(A),José Fonseca,Allana Duarte
Ágatha Albuquerque,22/03/2000,"03/01/1961, Araújo das Pedras, RJ",01/10/2022,02/03/2027,74548213 SSP RJ,931.870.654-57,97640499727,BE,BRASILEIRO(A),Luiz Felipe Lima,Maria Clara Barbosa
Sr. Vinicius Santos,27/04/1996,"30/10/1996, Sá Paulista, TO",22/08/2025,29/06/2031,27809401 SSP TO,249.530.186-05,51565972815,D1E,BRASILEIRO(A),Dr. Matheus Silveira,Luara Fonseca
Alexia Vasconcelos,13/12/2005,"15/06/1957, Andrade, MS",29/04/2025,20/11/2030,21429651 SSP MS,829.537.014-60,26182127436,C1,BRASILEIRO(A),Rhavi Albuquerque,Júlia Moreira
Luísa Cunha,09/03/2005,"08/11/1997, da Mota de Camargo, PB",25/03/2023,03/05/2029,13914619 SSP PB,028.714.936-69,11965254291,C1E,BRASILEIRO(A),Thiago Silva,Luiza Sales
Levi da Cruz,02/05/2000,"12/10/2005, das Neves, SC",11/01/2022,06/01/2026,49484291 SSP SC,657.198.320-68,98476275233,B1,BRASILEIRO(A),Sr. Joaquim Fonseca,Maria Isis Leão
Rafaela Rios,16/07/1999,"22/06/1997, Rios do Norte, RO",25/04/2021,27/06/2029,42758257 SSP RO,085.231.946-06,13365542039,B,BRASILEIRO(A),Enrico Brito,Maria Julia Fonseca
Alana Cunha,30/12/2003,"06/06/2000, Souza de Silva, PE",05/04/2022,29/04/2031,48513644 SSP PE,396.571.482-19,39607487025,A,BRASILEIRO(A),Augusto Azevedo,Lunna Caldeira
Maria Fernanda Pastor,23/10/2007,"06/06/1962, Cardoso de Goiás, AP",01/06/2022,03/01/2030,46903796 SSP AP,307.842.596-74,83726185328,CE,BRASILEIRO(A),Eduardo Nogueira,Maria Flor da Costa
Laís Martins,11/08/2001,"25/05/2001, Campos, GO",01/10/2022,13/03/2029,31740291 SSP GO,187.936.240-69,60394710472,C1,BRASILEIRO(A),Nicolas da Costa,Ágatha Costa
Srta. Julia Viana,26/06/2004,"21/06/1971, Mendonça, RN",02/06/2023,05/04/2033,94273114 SSP RN,370.981.645-93,31377317362,A,BRASILEIRO(A),Arthur Cunha,Mariana Moreira
Srta. Alexia Costa,26/10/2000,"27/02/1984, Nascimento do Oeste, RR",18/08/2025,07/11/2031,20649460 SSP RR,932.740.168-96,73031462673,B,BRASILEIRO(A),Luiz Fernando Cunha,Daniela Rodrigues
Ana Beatriz da Rosa,09/11/2001,"24/04/1983, Campos da Serra, AM",07/08/2022,07/07/2027,38782764 SSP AM,276.904.318-87,42487030192,BE,BRASILEIRO(A),Ryan Sá,Hellena Rodrigues
Ana Julia Monteiro,19/05/2002,"23/04/2001, Casa Grande, RS",20/03/2023,01/05/2031,53197663 SSP RS,516.794.038-93,92803594839,BE,BRASILEIRO(A),Luiz Miguel Campos,Melissa Rocha
Benicio Mendes,27/05/2003,"12/08/2006, Novais de das Neves, MS",15/02/2022,10/02/2031,67098126 SSP MS,748.950.136-93,14086100497,D1E,BRASILEIRO(A),Isaque Martins,Ana Clara Machado
Sophia Santos,30/12/2004,"03/02/1966, Câmara de Lima, RN",18/02/2022,09/11/2031,20007188 SSP RN,543.261.780-35,43972671402,B,BRASILEIRO(A),Dr. Juan da Mata,Pietra Fonseca
Kevin Souza,16/11/1999,"28/02/1991, Porto, PA",13/01/2021,08/06/2030,28127048 SSP PA,930.761.425-34,51122968903,B,BRASILEIRO(A),Marcelo Ramos,Alice Cirino
Cauê da Mota,09/12/1996,"15/04/1982, Marques de Câmara, MA",29/11/2022,12/12/2028,39939511 SSP MA,573.608.194-66,38997644848,B,BRASILEIRO(A),Mathias Pinto,Aylla Araújo
Murilo Aparecida,04/03/1997,"10/04/1995, Jesus, SC",02/05/2023,17/05/2026,75991160 SSP SC,726.419.850-20,72079403365,A1,BRASILEIRO(A),Kevin da Mota,Laís Pereira
Bárbara Sampaio,01/04/1997,"08/02/1970, Silva, MT",19/05/2022,11/05/2026,91126001 SSP MT,591.738.642-00,49731684750,A,BRASILEIRO(A),Lorenzo da Cunha,Ísis da Cruz
Luiz Miguel Sousa,10/02/2001,"25/02/1987, Abreu, AP",07/09/2024,08/04/2034,22339909 SSP AP,760.824.531-07,47299113007,B1,BRASILEIRO(A),Calebe Rocha,Isabel Martins
Marcelo Vargas,26/08/1999,"06/10/2007, Rodrigues do Galho, PI",16/05/2023,28/04/2033,59789262 SSP PI,639.057.841-57,14593069503,D1,BRASILEIRO(A),Luan Barros,Olívia Machado
Sra. Beatriz Ribeiro,10/05/2005,"31/07/1993, da Rocha de Goiás, PR",01/06/2022,26/10/2027,65355606 SSP PR,652.389.174-73,59382056457,BE,BRASILEIRO(A),Dom Machado,Ana Julia da Cunha
Henry Ribeiro,08/12/1998,"14/03/2006, da Rocha do Galho, PA",22/07/2022,10/02/2031,98488240 SSP PA,315.679.428-73,97604282220,D1,BRASILEIRO(A),Sr. Enzo das Neves,Maria Helena Aragão
Elisa Cardoso,22/10/1996,"07/09/1995, Macedo de Aparecida, MA",04/08/2021,12/08/2024,21642964 SSP MA,927.453.016-16,63792034442,B1,BRASILEIRO(A),Calebe Moura,Maya Moraes
Samuel da Luz,10/05/1998,"17/10/2001, Moura, PI",12/07/2022,27/03/2030,84963296 SSP PI,926.147.530-25,10534809628,A1,BRASILEIRO(A),Sr. Isaac Vasconcelos,Brenda Fonseca
Breno Viana,21/10/2001,"05/08/1975, Silva das Flores, SC",31/08/2025,07/06/2035,69485746 SSP SC,814.750.239-79,13457489963,B1,BRASILEIRO(A),Dr. Antony Sousa,Srta. Manuela Nunes
Lavínia da Mota,07/09/2004,"22/03/1959, Camargo de Azevedo, MG",04/03/2023,02/08/2026,39714294 SSP MG,873.694.125-55,40675776199,ACC,BRASILEIRO(A),Caleb Alves,Maria Vitória Souza
Laís Cavalcante,17/09/2003,"12/03/1973, Azevedo, MG",14/04/2025,13/08/2028,21642122 SSP MG,234.085.179-32,38183573229,D,BRASILEIRO(A),Sr. Gael Cardoso,Sra. Aurora Pinto
Emanuelly Pacheco,18/02/2006,"07/01/1959, Ramos da Praia, SP",18/03/2023,20/09/2028,22275772 SSP SP,018.946.732-04,15211418869,C,BRASILEIRO(A),Vinicius Melo,Cecilia Rezende
Luara Almeida,27/06/1998,"05/01/1997, Machado de da Costa, PR",30/06/2022,24/01/2026,54163002 SSP PR,815.024.763-71,31832325774,CE,BRASILEIRO(A),Gael Macedo,Camila Vieira
