nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
LUARA FERNANDES,14/06/2003,"15/08/1963, DA CUNHA DOS DOURADOS, PE",12/09/2023,23/11/2032,PE74870527 SSP PE,931.506.278-77,10844568991,D1,BRASILEIRO(A),PEDRO MIGUEL AZEVEDO,ÁGATHA BARROS
OLÍVIA SAMPAIO,14/08/2006,"03/11/2003, GUERRA DAS FLORES, MA",26/05/2023,14/04/2027,MA60538881 SSP MA,587.024.169-30,55500031634,B1,BRASILEIRO(A),EMANUEL BARROS,ÍSIS MELO
LAVÍNIA MACEDO,25/10/2000,"21/03/1980, VIANA, RR",16/02/2024,15/04/2030,RR58098420 SSP RR,453.721.068-08,15577802951,D,BRASILEIRO(A),LUIZ MIGUEL DA MATA,STEPHANY ARAGÃO
SRTA. GIOVANNA CASTRO,07/08/1998,"03/11/1988, FONSECA DAS PEDRAS, TO",09/05/2021,22/06/2029,TO27376108 SSP TO,295.703.614-25,48591855944,BE,BRASILEIRO(A),LUIZ HENRIQUE FERNANDES,ANA LÍVIA TEIXEIRA
RAEL OLIVEIRA,20/06/2001,"11/05/1996, VASCONCELOS, PI",26/09/2022,12/01/2026,PI36960846 SSP PI,257.813.406-53,28371263571,CE,BRASILEIRO(A),RAVI TEIXEIRA,ÍSIS CAVALCANTI
SRA. GIOVANNA DA ROSA,22/07/1996,"31/03/2006, SAMPAIO, BA",03/08/2025,26/06/2032,BA53540282 SSP BA,123.476.950-61,34288793267,C,BRASILEIRO(A),THIAGO FONSECA,ANA JULIA MENDES
SR. ANTHONY GABRIEL PORTO,03/03/2000,"11/08/1960, LEÃO VERDE, SP",27/11/2021,30/06/2025,SP63647231 SSP SP,486.257.013-53,49754228140,D1E,BRASILEIRO(A),THÉO FREITAS,MARIA SOPHIA SÁ
ANTONELLA LEÃO,28/02/1997,"18/11/1974, CASSIANO DO NORTE, AC",14/11/2020,08/06/2026,AC70290620 SSP AC,154.268.739-09,13551457775,D1,BRASILEIRO(A),MATHEUS CAVALCANTI,MARIA LUIZA SALES
ARTHUR RIBEIRO,31/05/1997,"31/05/1995, SILVEIRA, RO",20/03/2024,01/10/2029,RO57342933 SSP RO,923.874.506-47,41645421616,DE,BRASILEIRO(A),EMANUEL DA LUZ,CAMILA SOUZA
HENRY GABRIEL CAVALCANTE,21/02/2006,"13/01/1971, LEÃO DO NORTE, AC",27/10/2023,12/11/2030,AC32255764 SSP AC,583.164.920-24,47365588035,DE,BRASILEIRO(A),DR. ARTHUR MIGUEL SOUSA,SRA. ANA LIZ MONTEIRO
NINA SILVEIRA,30/09/1999,"21/10/1972, CARDOSO, MS",01/07/2022,17/11/2026,MS94981147 SSP MS,418.372.609-31,18487067085,A1,BRASILEIRO(A),ANTONY COSTELA,SRA. OLIVIA FERREIRA
FERNANDA DA ROCHA,27/07/1997,"18/06/1991, ALBUQUERQUE DO SUL, MS",17/08/2024,22/06/2033,MS84855604 SSP MS,309.758.421-88,24780352923,D1,BRASILEIRO(A),ARTHUR GABRIEL DIAS,AMANDA CIRINO
RAFAELA DA CONCEIÇÃO,21/09/1996,"21/07/1964, CUNHA, SC",09/10/2024,09/02/2031,SC32619795 SSP SC,261.958.304-70,54343778620,C1E,BRASILEIRO(A),SR. AUGUSTO RIBEIRO,MELINA CIRINO
ARTHUR MIGUEL LOPES,23/09/2005,"06/11/1985, NOGUEIRA, TO",02/03/2024,13/10/2033,TO63619635 SSP TO,290.146.587-02,62623029069,C,BRASILEIRO(A),LIAM GARCIA,VITÓRIA CÂMARA
RAVI VIEIRA,23/05/2006,"09/01/2000, VIEIRA DE VIEIRA, AC",06/12/2021,25/05/2026,AC65839917 SSP AC,752.630.814-80,81948055991,B,BRASILEIRO(A),NATHAN CÂMARA,MARIANE ALVES
ANTONY VASCONCELOS,18/09/2000,"22/11/1973, CIRINO, MG",20/04/2024,14/11/2029,MG28935152 SSP MG,641.592.387-00,12200977645,ACC,BRASILEIRO(A),BENICIO DA CUNHA,REBECA DA COSTA
RAFAELA GOMES,17/06/1999,"04/04/1998, APARECIDA DE GOIÁS, GO",01/06/2022,19/10/2031,GO71172463 SSP GO,462.359.081-05,61058117679,A1,BRASILEIRO(A),HEITOR DA CUNHA,SRA. MARCELA COSTA
ÁGATHA RODRIGUES,25/09/2007,"03/03/1995, CALDEIRA, RJ",11/04/2025,16/01/2035,RJ63222276 SSP RJ,059.417.286-11,62093725518,ACC,BRASILEIRO(A),HENRY GABRIEL FOGAÇA,DRA. ISABELLA DA PAZ
SARA RODRIGUES,08/09/2004,"15/10/1965, DA CRUZ DA MATA, RR",28/07/2023,28/09/2027,RR93227028 SSP RR,315.974.086-20,14833929717,C1,BRASILEIRO(A),SR. LUCAS GABRIEL ANDRADE,RAFAELA TEIXEIRA
JÚLIA DA COSTA,11/04/2007,"10/11/1965, GUERRA, MA",15/10/2023,10/03/2030,MA32741942 SSP MA,853.627.190-68,54867028254,D,BRASILEIRO(A),JOÃO GABRIEL NUNES,ISABELLA RAMOS
SR. THEODORO BARROS,18/07/1998,"17/08/1985, CASSIANO DA PRAIA, RN",29/08/2021,23/01/2031,RN34565333 SSP RN,764.831.295-64,22961229158,C,BRASILEIRO(A),ISAQUE PEIXOTO,NINA MONTEIRO
MARIA CECÍLIA PEIXOTO,25/06/2002,"21/09/2006, VASCONCELOS DE COSTELA, SP",15/01/2021,26/05/2025,SP41223070 SSP SP,754.813.206-90,10088573735,A,BRASILEIRO(A),VITOR GABRIEL MENDES,SRTA. CAROLINA CAVALCANTE
GUSTAVO GONÇALVES,16/08/2000,"23/10/1997, PACHECO DO OESTE, RN",24/05/2024,02/07/2032,RN92298330 SSP RN,297.081.645-85,25158557125,A1,BRASILEIRO(A),SR. JOAQUIM LOPES,MARIA EDUARDA SANTOS
MARIA ALICE MENDONÇA,06/09/2003,"22/02/1998, VIEIRA DE MINAS, CE",02/10/2022,13/11/2029,CE94428551 SSP CE,409.263.587-74,54405474388,D,BRASILEIRO(A),JOÃO DA CONCEIÇÃO,SRA. AMANDA BARBOSA
RODRIGO RIOS,31/07/2001,"09/01/1961, RIOS, RO",15/12/2022,26/08/2027,RO35516369 SSP RO,843.910.275-50,19951215596,C,BRASILEIRO(A),CAUÃ ALMEIDA,LUÍSA CORREIA
SARAH SANTOS,15/05/2006,"30/08/1967, JESUS DE SILVEIRA, SP",23/10/2022,11/11/2028,SP24772481 SSP SP,829.675.143-73,96296803561,B1,BRASILEIRO(A),SR. GUSTAVO CASA GRANDE,AURORA PEIXOTO
DANIEL MORAES,17/09/1996,"26/09/1983, ANDRADE, CE",22/11/2024,15/11/2032,CE89633224 SSP CE,603.285.491-42,36030540229,BE,BRASILEIRO(A),VINÍCIUS ALVES,SRA. CAROLINA CASSIANO
SRA. REBECA PEIXOTO,21/08/2007,"07/07/1983, RIBEIRO DO GALHO, GO",14/04/2025,10/08/2031,GO96641697 SSP GO,142.037.895-32,51658532375,D1,BRASILEIRO(A),MARCELO CARVALHO,ANA LUIZA MENDES
ERICK DA ROSA,06/05/2002,"18/10/1981, PIRES, AP",19/06/2021,21/05/2030,AP70572233 SSP AP,829.503.641-60,98740330924,C,BRASILEIRO(A),DANTE GONÇALVES,ANA CASA GRANDE
DR. NATHAN RODRIGUES,26/09/2007,"26/05/2006, MONTENEGRO, AC",29/11/2022,30/06/2031,AC99548069 SSP AC,219.847.536-73,23799403658,BE,BRASILEIRO(A),JOÃO VITOR GARCIA,MELINA MACEDO
JOAQUIM PEREIRA,29/08/2003,"28/05/2002, NASCIMENTO, GO",28/05/2021,10/05/2029,GO34662874 SSP GO,635.284.071-07,74249427765,D,BRASILEIRO(A),ASAFE VIANA,SARA BRITO
SOPHIE VASCONCELOS,29/12/1999,"06/05/1979, ALBUQUERQUE DAS PEDRAS, AM",13/11/2024,25/08/2033,AM96449177 SSP AM,635.408.129-89,20144561014,D,BRASILEIRO(A),LUCCA ARAGÃO,JULIA DA ROSA
ELISA ARAGÃO,06/03/2000,"01/03/1960, PASTOR, AC",17/05/2023,25/02/2027,AC91261828 SSP AC,103.259.876-02,86127459788,A,BRASILEIRO(A),JOÃO FELIPE NASCIMENTO,MARIAH FERNANDES
ISADORA DA CRUZ,11/04/2004,"01/09/2006, CASTRO DE GOMES, RJ",29/12/2024,23/12/2033,RJ71544551 SSP RJ,504.321.986-60,58667581382,D1E,BRASILEIRO(A),PEDRO HENRIQUE CIRINO,LARISSA LOPES
ALANA CASTRO,16/07/1996,"27/07/1996, BORGES, DF",05/09/2023,18/06/2032,DF98043895 SSP DF,370.984.621-87,72585192206,C1,BRASILEIRO(A),JOAQUIM RODRIGUES,LUNNA CIRINO
JOSÉ DA PAZ,11/05/2002,"28/07/1997, LIMA, ES",06/05/2023,05/09/2028,ES82221812 SSP ES,578.320.961-95,37804189226,B,BRASILEIRO(A),JOSÉ PEDRO NASCIMENTO,MARIA VITÓRIA PEIXOTO
EDUARDA SILVA,29/03/2003,"28/11/1968, ALMEIDA VERDE, AC",04/08/2025,05/08/2028,AC99145218 SSP AC,152.093.648-60,78379069702,CE,BRASILEIRO(A),VINÍCIUS ROCHA,GIOVANNA SOUSA
THÉO CUNHA,10/01/2007,"08/08/1967, VIEIRA, BA",03/04/2021,02/06/2026,BA99632842 SSP BA,184.702.635-44,67764680811,C,BRASILEIRO(A),MARCELO RIOS,EMILLY FONSECA
BENTO SANTOS,26/04/2000,"21/03/1998, ABREU, RO",19/11/2024,29/09/2032,RO38659351 SSP RO,751.392.640-99,47647235405,B1,BRASILEIRO(A),JOSÉ DA MOTA,ISABELA APARECIDA
ARTHUR MIGUEL CÂMARA,05/04/1997,"17/01/1975, COSTELA DO AMPARO, RO",28/03/2022,20/02/2032,RO85800797 SSP RO,965.084.317-57,53979411554,D,BRASILEIRO(A),JOSUÉ SÁ,MARIA CECÍLIA VASCONCELOS
CATARINA MELO,17/08/1997,"27/02/1963, COSTA DA SERRA, GO",28/07/2024,08/12/2030,GO87656757 SSP GO,270.541.386-35,26246814999,DE,BRASILEIRO(A),JOSÉ MIGUEL DIAS,GIOVANNA GOMES
FELIPE VASCONCELOS,12/08/2002,"09/02/1982, CASA GRANDE, PE",04/10/2023,28/11/2027,PE88391308 SSP PE,352.768.194-91,32036110001,D1,BRASILEIRO(A),PAULO PEREIRA,EVELYN NOVAIS
GABRIELA COSTA,27/11/1999,"17/11/1964, DAS NEVES DE RIOS, ES",31/03/2023,23/11/2031,ES41449959 SSP ES,641.950.837-10,65960559901,B1,BRASILEIRO(A),ENRICO DIAS,DRA. MAYSA SALES
VITOR HUGO CAMARGO,28/01/2005,"08/01/1994, DA COSTA DE CÂMARA, RJ",05/08/2021,30/07/2025,RJ53823201 SSP RJ,254.801.963-24,37124286256,A1,BRASILEIRO(A),DAVI LUIZ LEÃO,MARIA HELENA DA CRUZ
DR. RAEL MARQUES,28/05/2007,"06/10/1969, GARCIA DO NORTE, TO",18/04/2023,20/01/2031,TO27821028 SSP TO,862.739.410-50,28519192116,B,BRASILEIRO(A),MARCOS VINICIUS CÂMARA,NATÁLIA FONSECA
APOLLO DA CRUZ,07/11/1999,"27/07/1969, CAMARGO DE MINAS, PA",18/03/2024,02/04/2029,PA90593884 SSP PA,467.915.820-49,53702506209,C1,BRASILEIRO(A),GABRIEL SILVA,SRA. NATÁLIA CUNHA
MARIA CLARA LOPES,16/08/1998,"07/03/1981, NOGUEIRA DOS DOURADOS, PR",17/12/2021,15/05/2025,PR93296440 SSP PR,928.340.176-03,10113999355,A,BRASILEIRO(A),ENZO SOUZA,ELOÁ CALDEIRA
YURI FERNANDES,13/02/1999,"27/08/1959, ALBUQUERQUE, PI",12/11/2020,15/01/2027,PI66898275 SSP PI,206.957.318-40,75089522513,D1,BRASILEIRO(A),SAMUEL MELO,MARCELA FARIAS
FERNANDA CAMPOS,03/03/2007,"02/11/1973, DA LUZ DE MINAS, PB",26/02/2024,12/08/2031,PB16934233 SSP PB,375.426.981-09,65445981426,C1E,BRASILEIRO(A),SR. ARTHUR PORTO,SOPHIA CASA GRANDE
BRENDA PASTOR,07/03/2006,"13/07/1979, PEREIRA, AC",01/05/2021,08/08/2028,AC17159780 SSP AC,013.284.596-24,58901009882,B1,BRASILEIRO(A),DAVI MIGUEL CAMPOS,CECILIA CARDOSO
JOSÉ PEDRO CAVALCANTI,26/01/2000,"05/06/1984, CAVALCANTI DE FERNANDES, MA",04/01/2023,17/06/2029,MA17861407 SSP MA,472.139.056-43,18226387573,A,BRASILEIRO(A),SR. JOÃO GUILHERME NOGUEIRA,ANA LUIZA FONSECA
AURORA DA CUNHA,02/04/1997,"18/08/1969, SANTOS, PR",01/10/2021,26/08/2030,PR92949852 SSP PR,268.094.531-05,40965287969,D,BRASILEIRO(A),DAVI BORGES,EMILLY SAMPAIO
PEDRO LUCAS PEIXOTO,03/12/1996,"10/08/1989, DA CONCEIÇÃO DO AMPARO, BA",20/10/2025,23/02/2032,BA35062272 SSP BA,672.391.408-22,51321248131,A1,BRASILEIRO(A),JUAN BORGES,JULIANA PEREIRA
MARIA ISIS AZEVEDO,29/10/2003,"10/12/1955, MELO, SP",24/12/2024,20/10/2032,SP45046104 SSP SP,394.285.670-00,54760230606,B,BRASILEIRO(A),GUSTAVO HENRIQUE VIEIRA,MARIA LUIZA MONTEIRO
KAIQUE CARVALHO,31/08/1999,"14/11/1955, ARAÚJO, PR",27/12/2022,26/01/2028,PR71682495 SSP PR,297.405.613-06,61873868491,B,BRASILEIRO(A),LUCCA DA MOTA,NICOLE DA LUZ
BRUNO AZEVEDO,04/01/2000,"02/07/1999, VIEIRA, PI",28/12/2021,23/02/2030,PI57091036 SSP PI,184.265.037-80,55447817395,BE,BRASILEIRO(A),DANIEL PEIXOTO,AMANDA ARAGÃO
JOÃO MIGUEL PACHECO,23/07/1996,"30/09/1966, DA ROCHA, SC",12/03/2022,22/06/2025,SC20651668 SSP SC,579.832.014-60,24939809999,BE,BRASILEIRO(A),NATHAN ANDRADE,ANA CECÍLIA MELO
PEDRO ABREU,04/02/1997,"14/08/1998, SILVEIRA, GO",13/11/2020,21/07/2029,GO15208151 SSP GO,837.196.205-30,43072766090,DE,BRASILEIRO(A),SR. BENICIO ALVES,RAFAELA CASSIANO
DR. VITOR GABRIEL DIAS,10/02/2000,"17/04/1984, TEIXEIRA, SP",13/12/2021,26/07/2031,SP48011682 SSP SP,720.651.489-85,97791908950,CE,BRASILEIRO(A),ENRICO ARAGÃO,SOFIA MACHADO
DR. ASAFE ALMEIDA,02/11/2002,"01/03/2006, GONÇALVES DO GALHO, PR",14/09/2024,14/08/2034,PR92306243 SSP PR,709.215.436-70,18490461512,C1,BRASILEIRO(A),OTÁVIO DA ROCHA,ANA JÚLIA CAMPOS
BELLA SANTOS,18/03/2001,"08/02/1973, DA CRUZ DA PRAIA, RS",30/03/2022,25/02/2028,RS92210180 SSP RS,051.639.824-51,85577276447,C1,BRASILEIRO(A),DOM PEREIRA,SRTA. ZOE PASTOR
CARLOS EDUARDO MACHADO,15/08/2006,"17/07/1968, LOPES DE CORREIA, SC",15/10/2024,10/12/2030,SC89443792 SSP SC,469.280.571-49,82988275593,D1E,BRASILEIRO(A),DR. DOM MOREIRA,MARIAH CAMARGO
GABRIELA NUNES,25/01/1996,"02/02/2006, FREITAS, PI",30/07/2022,28/12/2030,PI93172250 SSP PI,810.295.437-04,10130119788,A,BRASILEIRO(A),MIGUEL DA MATA,SRTA. ANA CECÍLIA MONTEIRO
ANA CAROLINA DA CRUZ,21/10/2001,"16/12/1991, CASSIANO DE DUARTE, SC",13/05/2022,17/12/2031,SC13993577 SSP SC,206.148.357-71,41836332249,A1,BRASILEIRO(A),MATEUS DA COSTA,LARA CAMARGO
DR. ANTHONY GABRIEL BARBOSA,17/12/2006,"15/12/2005, FONSECA, DF",22/06/2021,21/08/2026,DF39445369 SSP DF,693.425.087-74,87190020644,B,BRASILEIRO(A),DIOGO ALVES,SRTA. LIZ NUNES
RAQUEL DAS NEVES,19/05/2007,"06/06/1966, CASTRO DO CAMPO, MS",16/01/2023,29/12/2026,MS74450612 SSP MS,382.105.947-88,26870203878,C1E,BRASILEIRO(A),BENTO NOVAIS,MAYA COSTELA
IGOR DA ROCHA,05/09/1998,"27/06/1987, CAVALCANTI DA PRATA, MS",30/06/2023,04/05/2029,MS54023939 SSP MS,974.365.210-80,93166344885,B,BRASILEIRO(A),BRYAN DA CRUZ,GIOVANNA PINTO
SRA. GABRIELA MOREIRA,03/01/2004,"25/04/1977, DA MATA DO SUL, PR",16/02/2021,30/11/2025,PR35056096 SSP PR,851.934.062-89,34440451306,D,BRASILEIRO(A),OTTO SANTOS,BIANCA VARGAS
LEVI MONTEIRO,18/02/2006,"26/05/2002, MACHADO, AP",04/10/2025,18/05/2031,AP30064300 SSP AP,702.389.165-02,68357899282,ACC,BRASILEIRO(A),YAN BARBOSA,STELLA ALMEIDA
ANTONY GONÇALVES,10/04/2001,"21/05/1966, MORAES, PI",07/03/2023,13/05/2027,PI77697258 SSP PI,853.019.476-48,48786939367,D1E,BRASILEIRO(A),PEDRO MIGUEL ANDRADE,ANA CLARA MACEDO
MANUELLA SALES,25/02/2003,"13/12/1980, PORTO, PI",09/01/2024,03/09/2027,PI68269482 SSP PI,958.713.462-19,62966886373,BE,BRASILEIRO(A),JUAN BARROS,MARIA FLOR SOUZA
CALEB FERNANDES,15/10/1997,"03/12/1960, LOPES, CE",04/03/2022,16/05/2029,CE27180675 SSP CE,619.407.328-40,53181611060,D,BRASILEIRO(A),PEDRO HENRIQUE DA MATA,LAURA FONSECA
GIOVANNA FONSECA,06/03/2004,"04/07/1963, ABREU DE MINAS, SC",21/10/2022,14/06/2026,SC82311855 SSP SC,721.654.038-71,26457030562,A1,BRASILEIRO(A),SR. VITOR RIOS,EVELYN GUERRA
SR. BENICIO DA MATA,24/06/2001,"26/09/1981, PINTO, PA",23/05/2021,11/02/2026,PA42791249 SSP PA,196.583.724-73,56902565417,B,BRASILEIRO(A),LUIZ GUSTAVO PIRES,NATÁLIA GARCIA
HENRY GABRIEL FOGAÇA,25/02/1997,"18/06/2000, COSTA, PI",14/10/2025,06/01/2035,PI40307527 SSP PI,160.529.874-30,61565359278,ACC,BRASILEIRO(A),YURI SIQUEIRA,ISABEL ALVES
BELLA VIANA,23/07/1998,"01/12/1974, TEIXEIRA DE MARQUES, PE",06/01/2021,15/01/2026,PE81556680 SSP PE,609.584.723-00,94954419423,BE,BRASILEIRO(A),CAUÊ SIQUEIRA,NINA ANDRADE
SAMUEL DA CRUZ,06/06/1996,"27/03/1969, AZEVEDO DA PRAIA, AC",07/10/2022,14/05/2030,AC71905680 SSP AC,907.256.841-94,71955066404,D,BRASILEIRO(A),FELIPE PIRES,ZOE ARAGÃO
ALLANA TEIXEIRA,28/10/2002,"28/11/1991, MARTINS, DF",24/01/2025,03/06/2032,DF64510687 SSP DF,630.145.892-33,89390140396,ACC,BRASILEIRO(A),DR. YAGO MONTENEGRO,BEATRIZ PASTOR
CLARICE COSTA,11/05/2007,"21/11/1967, SOUSA, PA",03/03/2021,27/06/2029,PA36473730 SSP PA,563.241.987-82,20034270884,DE,BRASILEIRO(A),HENRIQUE DA COSTA,SRTA. ISABELLA CARDOSO
DR. THEODORO DA CUNHA,30/12/1997,"12/10/1996, BARROS PAULISTA, MS",22/07/2025,29/12/2032,MS85590484 SSP MS,704.936.285-92,66705919328,DE,BRASILEIRO(A),SR. CARLOS EDUARDO SOUSA,NINA SIQUEIRA
RAFAELA GONÇALVES,29/01/2007,"22/01/1968, NUNES, SP",05/08/2023,25/09/2030,SP94439739 SSP SP,167.239.054-07,72955753564,CE,BRASILEIRO(A),PIETRO CIRINO,MIRELLA VIANA
DRA. HELLENA VARGAS,22/10/1997,"24/05/1958, ALBUQUERQUE DO AMPARO, TO",02/04/2022,29/01/2029,TO68895065 SSP TO,236.489.517-00,37525362670,C,BRASILEIRO(A),VINÍCIUS ALMEIDA,ALANA RAMOS
ENZO SOUZA,25/08/2000,"27/01/1990, CASTRO DAS FLORES, RO",24/08/2022,04/03/2031,RO61135210 SSP RO,158.297.403-97,88437793450,CE,BRASILEIRO(A),GAEL HENRIQUE CÂMARA,CLARICE SOUSA
BIANCA SALES,28/07/2004,"21/12/1960, DA PAZ, MA",22/03/2021,19/10/2024,MA69932261 SSP MA,645.783.210-53,22259490544,A,BRASILEIRO(A),SR. ARTHUR GABRIEL FARIAS,STEPHANY PEREIRA
