nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
YURI FONSECA,31/05/2004,"09/11/1977, PIMENTA, MS",17/05/2024,08/10/2027,MS82834535 SSP MS,490.281.675-01,28757536087,CE,BRASILEIRO(A),CALEB CASA GRANDE,ANA VITÓRIA RODRIGUES
ALANA FOGAÇA,25/12/2001,"21/04/1986, VASCONCELOS, TO",31/01/2025,12/12/2033,TO99963995 SSP TO,538.749.216-46,63722356870,D1,BRASILEIRO(A),LUIZ HENRIQUE GUERRA,SRA. GABRIELA VIEIRA
LUARA DA CRUZ,09/04/1999,"15/11/2003, MOURA DE MINAS, PI",05/07/2023,19/02/2033,PI80438041 SSP PI,467.135.098-00,91551138958,BE,BRASILEIRO(A),GUSTAVO HENRIQUE CÂMARA,HELOISA REZENDE
DR. VINÍCIUS CASTRO,03/02/2000,"02/04/1971, MELO DE PACHECO, DF",27/02/2021,01/11/2030,DF53056239 SSP DF,093.268.754-74,50799871300,C1E,BRASILEIRO(A),RAUL CALDEIRA,SOPHIA GARCIA
THIAGO SOUZA,29/10/2007,"22/04/1997, MACEDO DE ALBUQUERQUE, AP",07/01/2025,30/12/2033,AP89140813 SSP AP,180.369.745-84,22041349229,D1,BRASILEIRO(A),PAULO MONTENEGRO,ANA JÚLIA CASA GRANDE
MARIA CECÍLIA GOMES,08/12/2004,"15/04/1956, NOVAES, CE",19/12/2020,02/05/2027,CE87214226 SSP CE,405.781.236-90,88875542751,DE,BRASILEIRO(A),LUIZ OTÁVIO ARAÚJO,LUARA DIAS
ARTHUR GABRIEL MONTEIRO,27/05/1999,"08/09/1988, LEÃO DO NORTE, PR",03/12/2023,15/03/2029,PR18829424 SSP PR,967.451.320-52,51047482193,C1E,BRASILEIRO(A),RAUL ANDRADE,MELISSA BORGES
SRA. BRUNA FERREIRA,28/07/1997,"24/03/1981, ABREU DO CAMPO, MG",26/11/2022,22/09/2031,MG81855402 SSP MG,360.487.215-44,59636490344,ACC,BRASILEIRO(A),DR. VINICIUS GONÇALVES,ESTHER MARTINS
ANA LUIZA MOURA,24/03/2000,"09/03/1979, ABREU DO AMPARO, PE",30/07/2022,23/12/2026,PE43576722 SSP PE,168.423.970-22,49513928421,C1E,BRASILEIRO(A),DR. LUAN DA ROCHA,SRTA. MAYA RAMOS
MURILO DA PAZ,16/08/1998,"28/05/1972, FOGAÇA, RS",11/11/2024,10/01/2030,RS36873763 SSP RS,804.793.251-97,47861146415,B1,BRASILEIRO(A),ENZO GABRIEL ROCHA,ANA LIZ CAVALCANTE
ELOÁ LIMA,08/08/2005,"09/05/1974, CAMARGO DO SUL, PA",25/03/2023,22/11/2032,PA91320555 SSP PA,843.567.029-56,44496039110,A1,BRASILEIRO(A),DIOGO GOMES,EDUARDA PASTOR
DR. LUIZ GUSTAVO CARDOSO,16/06/2006,"11/10/1963, MONTEIRO, BA",26/09/2021,01/02/2026,BA44093314 SSP BA,856.139.274-64,13794160837,DE,BRASILEIRO(A),DIEGO LOPES,ISABEL REZENDE
MARIA CECÍLIA NOVAIS,23/01/1999,"06/08/1960, MORAES, MA",16/03/2025,11/12/2030,MA15955830 SSP MA,287.916.035-95,54171273993,A1,BRASILEIRO(A),DANIEL NOVAIS,DRA. MARIA SOPHIA DA CRUZ
KEVIN MENDES,24/06/1998,"16/08/1991, BORGES DAS PEDRAS, RS",22/09/2025,25/06/2033,RS29238670 SSP RS,163.958.074-39,47440897037,DE,BRASILEIRO(A),ARTHUR MIGUEL ARAGÃO,SRTA. AYLLA NUNES
JOÃO PEDRO FERNANDES,25/01/1999,"03/11/1967, RIOS, CE",25/02/2021,05/05/2029,CE71620317 SSP CE,805.174.369-57,56834043328,ACC,BRASILEIRO(A),LUIZ MIGUEL PORTO,SRTA. MARIA FERNANDA CASA GRANDE
RAFAEL SALES,01/03/2006,"30/07/1964, CAVALCANTE DE MENDES, SE",31/07/2024,11/09/2033,SE54204147 SSP SE,032.956.841-89,14640150515,B1,BRASILEIRO(A),LEVI BARBOSA,JOANA DA PAZ
DRA. MANUELA DA COSTA,15/03/1998,"12/11/1965, PINTO DA PRAIA, TO",25/02/2025,13/06/2030,TO34881479 SSP TO,380.627.194-13,43089990739,A1,BRASILEIRO(A),DIEGO DIAS,DRA. BIANCA NUNES
VALENTINA CARDOSO,01/05/1999,"14/02/1971, PASTOR, PB",08/01/2025,05/11/2028,PB49114735 SSP PB,792.640.318-04,57698068460,BE,BRASILEIRO(A),MIGUEL PINTO,VITÓRIA FREITAS
SRA. NATÁLIA CASTRO,25/11/2004,"21/02/1991, PEIXOTO DE GOIÁS, MG",27/06/2024,02/04/2033,MG42938073 SSP MG,598.267.143-64,64195669094,A,BRASILEIRO(A),ANTHONY GABRIEL NUNES,BELLA MOURA
JUAN MONTENEGRO,19/01/2000,"03/02/1964, TEIXEIRA DE DAS NEVES, PA",26/12/2022,14/04/2030,PA63287335 SSP PA,601.429.785-58,87983894084,D1E,BRASILEIRO(A),BRYAN DA MOTA,LÍVIA SÁ
JOÃO LUCAS DA COSTA,09/10/2000,"01/05/1981, RIBEIRO, AM",27/10/2025,10/12/2028,AM92928813 SSP AM,874.310.265-44,76592566679,C,BRASILEIRO(A),BRYAN ROCHA,NATÁLIA ABREU
LUAN GARCIA,04/01/1996,"08/12/1956, BARBOSA DO SUL, RJ",11/10/2024,09/04/2029,RJ24970726 SSP RJ,831.672.094-96,98584677984,B1,BRASILEIRO(A),LEANDRO ALVES,ALLANA BRITO
MARIANA PORTO,13/10/2004,"08/12/1956, ALMEIDA, AL",25/02/2024,06/09/2033,AL17677692 SSP AL,592.648.370-00,20080350366,A1,BRASILEIRO(A),THÉO ARAÚJO,SRTA. BIANCA FREITAS
MAYSA ALBUQUERQUE,10/10/2000,"16/10/1962, ROCHA, DF",12/07/2025,09/01/2034,DF75633924 SSP DF,153.980.642-15,68854289104,C1E,BRASILEIRO(A),DAVI LUCAS VASCONCELOS,MARIA FLOR MOURA
HEITOR ARAGÃO,12/12/1999,"16/02/1977, PIRES, AP",06/12/2023,25/07/2031,AP36240761 SSP AP,031.786.524-26,83696436922,B,BRASILEIRO(A),PEDRO MIGUEL FARIAS,MAYA COSTA
MATHIAS DUARTE,26/09/2002,"08/11/2004, ARAÚJO DO OESTE, GO",29/04/2023,26/02/2029,GO12306231 SSP GO,162.874.953-91,37219684872,A1,BRASILEIRO(A),JOÃO LUCAS VARGAS,MARIA LIZ PACHECO
MARIA CECÍLIA GUERRA,04/02/2000,"17/05/1965, MOURA DA PRATA, PI",26/10/2024,26/07/2029,PI35112727 SSP PI,039.518.264-60,22246451312,DE,BRASILEIRO(A),VALENTIM VIANA,LETÍCIA FERNANDES
RAFAELA RIOS,23/11/1995,"09/04/1976, ALVES DE VIANA, AP",05/03/2022,13/12/2031,AP40116909 SSP AP,237.419.560-07,97616150004,B1,BRASILEIRO(A),ANTHONY GABRIEL ROCHA,MARIA LUÍSA OLIVEIRA
SOFIA SAMPAIO,03/10/2001,"16/04/1957, ROCHA ALEGRE, PE",01/08/2022,16/06/2030,PE36290758 SSP PE,569.803.247-56,55898745414,ACC,BRASILEIRO(A),RODRIGO DA ROCHA,MARIAH SILVA
ÁGATHA MELO,15/09/1999,"03/04/2000, SOUZA, PA",25/06/2025,10/01/2031,PA60015806 SSP PA,761.059.832-12,87710090345,C,BRASILEIRO(A),JOAQUIM FERREIRA,ANA JÚLIA MENDES
GABRIELA PORTO,03/02/1999,"21/11/1981, SILVA, ES",19/06/2021,13/10/2029,ES18620910 SSP ES,247.683.051-80,20529809514,B,BRASILEIRO(A),VITOR MARTINS,ANA LÍVIA COSTELA
ANA LUIZA NOVAIS,08/10/2005,"03/10/1977, PACHECO DA PRATA, AP",22/09/2024,11/05/2033,AP46446390 SSP AP,461.789.023-87,94111001928,BE,BRASILEIRO(A),OTÁVIO APARECIDA,SARA DA COSTA
LORENZO JESUS,19/10/2003,"28/10/1991, OLIVEIRA DOS DOURADOS, SE",20/06/2025,26/03/2032,SE55813656 SSP SE,460.278.135-71,29216569583,D,BRASILEIRO(A),DAVI ANDRADE,ISABELLY GUERRA
NATHAN SILVA,15/06/1999,"06/06/1975, FREITAS DE GOIÁS, SE",09/01/2022,10/08/2028,SE47844515 SSP SE,603.541.829-51,32438545200,DE,BRASILEIRO(A),BRYAN CALDEIRA,SRTA. MARIA FLOR VARGAS
JOANA DA ROCHA,03/01/2001,"05/10/1960, GONÇALVES DE GOIÁS, MG",10/01/2021,24/06/2027,MG87386148 SSP MG,562.871.304-07,12020983838,B1,BRASILEIRO(A),SR. ERICK MORAES,LIZ ARAGÃO
EDUARDO BARROS,03/11/2007,"08/05/1986, CALDEIRA DE ALMEIDA, BA",09/09/2025,22/09/2029,BA56558374 SSP BA,694.720.385-65,41727475684,A,BRASILEIRO(A),JOÃO GUILHERME PIMENTA,MILENA CAMPOS
GABRIELLY RIBEIRO,03/09/1997,"11/05/1986, MACHADO, SE",30/01/2025,21/03/2034,SE85081567 SSP SE,872.130.549-88,13717057197,B,BRASILEIRO(A),RAEL DA CRUZ,MILENA DA MOTA
NICOLAS LOPES,05/08/2001,"26/12/2006, TEIXEIRA, RN",18/09/2025,14/05/2034,RN28115532 SSP RN,783.519.246-28,96071872632,CE,BRASILEIRO(A),SR. NOAH ROCHA,NINA BRITO
ANA SOPHIA RODRIGUES,28/08/1997,"06/07/2002, FERNANDES DO SUL, PE",15/02/2023,17/06/2028,PE28841148 SSP PE,457.963.820-47,55196443863,C1,BRASILEIRO(A),ANTHONY CÂMARA,MELINA DA LUZ
HENRIQUE LIMA,01/11/2004,"14/11/2004, GARCIA, RJ",11/06/2021,30/10/2030,RJ15391083 SSP RJ,081.564.237-71,67234379522,D,BRASILEIRO(A),LUIGI BORGES,MELINA LOPES
DR. CALEBE PEIXOTO,26/05/1999,"19/07/1999, CASA GRANDE DO NORTE, GO",21/03/2025,18/08/2034,GO80108213 SSP GO,139.406.528-06,62041053359,D,BRASILEIRO(A),THOMAS SALES,DRA. EDUARDA MACHADO
EDUARDA RIOS,06/07/1996,"03/01/2006, RAMOS DE GOIÁS, SC",09/09/2023,25/05/2027,SC50723927 SSP SC,851.026.439-24,65128028124,D1,BRASILEIRO(A),SAMUEL TEIXEIRA,JULIANA ARAGÃO
LEVI SOUZA,28/12/2003,"04/09/1992, SIQUEIRA, RJ",08/03/2022,08/02/2029,RJ58769548 SSP RJ,601.275.394-25,38084742358,D1,BRASILEIRO(A),DAVI ANDRADE,STEPHANY RAMOS
ÍSIS DA MOTA,23/11/2001,"12/12/1993, RAMOS, MS",13/12/2021,22/11/2025,MS93540169 SSP MS,194.820.356-15,59743101529,B1,BRASILEIRO(A),SR. JOÃO FELIPE SAMPAIO,SRA. CAROLINA ALBUQUERQUE
SRA. ANA CLARA NOGUEIRA,29/06/2007,"30/09/1993, MOREIRA DE MINAS, AM",12/06/2022,10/06/2028,AM94378665 SSP AM,691.840.732-50,10817772864,B1,BRASILEIRO(A),SR. LUCAS CASTRO,ANA VITÓRIA MARTINS
ALÍCIA BORGES,27/10/1996,"22/03/1979, GOMES DA SERRA, RJ",19/06/2021,03/07/2027,RJ13043207 SSP RJ,361.594.720-70,30283464782,CE,BRASILEIRO(A),SR. VINICIUS JESUS,SRA. CAMILA PIRES
LUIGI CAMARGO,02/10/2002,"24/10/2002, DA CONCEIÇÃO DO OESTE, RR",06/05/2021,20/08/2028,RR65827336 SSP RR,857.640.921-67,80331451370,C1E,BRASILEIRO(A),GUSTAVO DAS NEVES,ISABELA NUNES
RAUL PEREIRA,18/08/2006,"14/06/1975, DA CUNHA, RJ",14/01/2022,27/11/2029,RJ40475233 SSP RJ,923.610.748-69,83420862426,CE,BRASILEIRO(A),JOÃO LUCAS JESUS,LUIZA FOGAÇA
LUNA COSTA,03/05/2007,"17/03/1965, FREITAS, TO",19/09/2023,05/07/2032,TO41235123 SSP TO,540.912.783-88,33904760359,D1E,BRASILEIRO(A),SR. ANTONY MENDONÇA,MARIA VITÓRIA MONTEIRO
ALEXANDRE SAMPAIO,17/05/1999,"06/06/1986, CIRINO, SP",04/03/2021,01/04/2024,SP96595192 SSP SP,904.712.563-07,23542583902,D,BRASILEIRO(A),MATEUS SALES,LARISSA SOUZA
EMANUEL DA ROSA,11/10/2007,"17/01/1984, MACHADO DE JESUS, SE",11/02/2025,03/02/2032,SE32647398 SSP SE,845.279.360-00,70371897482,CE,BRASILEIRO(A),ENZO CALDEIRA,SRA. MARCELA SAMPAIO
OLIVIA DA ROSA,02/01/2004,"01/08/1955, FERREIRA DO AMPARO, AC",18/12/2021,03/03/2026,AC99623760 SSP AC,715.960.328-12,17662648144,D,BRASILEIRO(A),RAVI GONÇALVES,SRA. PIETRA MENDONÇA
BENTO SILVEIRA,25/11/2002,"21/07/2003, MENDES DE NOVAES, MT",13/01/2025,08/03/2032,MT79985110 SSP MT,581.037.429-88,23570859451,A,BRASILEIRO(A),LUIZ MIGUEL FOGAÇA,MAITÊ MOREIRA
ENZO MENDONÇA,17/11/1996,"09/05/1963, FERREIRA DE GONÇALVES, SE",08/09/2022,13/05/2027,SE13666426 SSP SE,567.312.490-25,77265780692,DE,BRASILEIRO(A),ANDRÉ LOPES,LUANA VARGAS
DAVI MIGUEL COSTELA,06/03/1997,"10/02/1982, PASTOR VERDE, PR",14/12/2024,25/11/2028,PR50573736 SSP PR,623.715.489-28,56104537313,DE,BRASILEIRO(A),LORENZO CIRINO,HADASSA RIOS
RAQUEL APARECIDA,13/12/2001,"13/11/1994, DA CRUZ, RN",02/04/2025,02/09/2033,RN32954461 SSP RN,086.154.372-62,74273654155,BE,BRASILEIRO(A),DR. LEVI MENDES,ANA LUIZA MACEDO
MAYA PIRES,08/07/1999,"13/04/1965, MONTEIRO, RO",30/05/2025,28/08/2028,RO89698073 SSP RO,164.807.925-30,46784234381,D,BRASILEIRO(A),DR. GUSTAVO CAMPOS,YASMIN DA CONCEIÇÃO
DRA. MARIA AZEVEDO,17/03/2004,"15/02/1966, DUARTE, AM",06/12/2024,06/08/2032,AM12494531 SSP AM,512.389.670-86,16663173123,C1,BRASILEIRO(A),MIGUEL CUNHA,SRA. ISADORA PINTO
CLARICE CASSIANO,09/04/2005,"21/08/2005, VASCONCELOS, BA",25/08/2024,26/08/2029,BA38110422 SSP BA,542.718.930-05,55274604103,C1E,BRASILEIRO(A),SR. MATHEUS APARECIDA,LIZ FERNANDES
SAMUEL PIMENTA,28/01/2000,"07/11/1988, FOGAÇA DO AMPARO, MT",01/07/2023,31/07/2027,MT80869097 SSP MT,198.320.675-02,99889068280,D,BRASILEIRO(A),DR. LEVI OLIVEIRA,BIANCA SILVEIRA
MAYA MONTENEGRO,14/11/2001,"25/01/2004, DA LUZ DAS FLORES, SC",07/06/2021,30/04/2025,SC38583251 SSP SC,104.693.257-80,31522202860,CE,BRASILEIRO(A),YURI CÂMARA,ALEXIA DA CONCEIÇÃO
RAUL BRITO,08/02/2005,"20/12/1974, PORTO, RR",22/01/2025,29/12/2032,RR96440714 SSP RR,534.209.178-05,16668515130,D1E,BRASILEIRO(A),FRANCISCO LIMA,BELLA DIAS
MANUELLA MACHADO,22/11/1999,"07/08/1964, MACHADO, BA",15/10/2022,25/08/2029,BA60210655 SSP BA,651.973.842-55,93938729391,A1,BRASILEIRO(A),ARTHUR OLIVEIRA,MANUELLA DA MOTA
ANTÔNIO SANTOS,01/12/1996,"20/07/1986, LEÃO, AM",24/11/2021,21/11/2027,AM29440187 SSP AM,194.023.576-61,96531324104,D1E,BRASILEIRO(A),GUILHERME SOUSA,VALENTINA MARQUES
FERNANDO LIMA,07/08/1999,"08/09/2000, SILVEIRA DO NORTE, GO",17/04/2023,23/10/2028,GO36747337 SSP GO,536.482.170-62,12441907833,A,BRASILEIRO(A),PIETRO REZENDE,SRTA. EVELYN CIRINO
LÍVIA COSTELA,13/06/2005,"15/05/1965, NOGUEIRA DO OESTE, SC",05/05/2021,04/12/2028,SC95845275 SSP SC,317.294.508-14,85470246664,B1,BRASILEIRO(A),JOÃO LUCAS RIBEIRO,MIRELLA DAS NEVES
ANA LAURA NOVAIS,04/11/2000,"28/08/1963, DA CONCEIÇÃO DO SUL, MT",29/03/2021,30/07/2025,MT69169989 SSP MT,921.465.038-15,23601323727,D1,BRASILEIRO(A),HENRY GABRIEL VIEIRA,MAYA CAMARGO
LUIZ FERNANDO PEREIRA,12/03/2003,"27/11/1996, DIAS, ES",22/09/2022,01/02/2029,ES56641483 SSP ES,420.389.615-06,29848423805,BE,BRASILEIRO(A),SR. LEANDRO DA MOTA,DANIELA DAS NEVES
DR. RAEL MORAES,07/01/2002,"18/11/1978, CORREIA, RO",21/06/2024,15/11/2030,RO57204467 SSP RO,028.756.941-11,14187309731,D1,BRASILEIRO(A),MIGUEL CIRINO,ESTER MARTINS
ALLANA NUNES,23/10/2004,"26/09/2002, NUNES DAS FLORES, SP",06/03/2025,30/04/2034,SP17589717 SSP SP,403.562.971-52,10836962320,D1,BRASILEIRO(A),JOÃO MIGUEL PACHECO,SRTA. MARIA FLOR SALES
BELLA ABREU,08/03/2006,"29/10/1970, CUNHA DAS FLORES, MS",01/03/2025,06/02/2029,MS69116214 SSP MS,267.083.145-17,50694560312,D1,BRASILEIRO(A),YAGO CASA GRANDE,ISABELLA GUERRA
SARAH NUNES,03/12/2005,"14/07/2003, RIOS PAULISTA, SP",23/01/2025,03/09/2033,SP63531625 SSP SP,301.928.754-50,65525938936,A1,BRASILEIRO(A),JUAN PEIXOTO,JULIA LIMA
VALENTIM VASCONCELOS,16/06/2002,"23/01/1994, NUNES DE MINAS, PE",17/12/2020,19/02/2029,PE96565852 SSP PE,823.096.517-02,10596679404,DE,BRASILEIRO(A),LUIZ FERNANDO NASCIMENTO,ANA SOPHIA BRITO
SARA CARVALHO,29/08/2007,"02/11/1965, SALES VERDE, RJ",02/09/2021,18/06/2027,RJ91813728 SSP RJ,749.362.051-25,19905045187,CE,BRASILEIRO(A),HEITOR CARVALHO,LAVÍNIA CÂMARA
GABRIEL GONÇALVES,26/11/2006,"10/04/2000, NUNES VERDE, AM",02/04/2025,08/01/2031,AM25832506 SSP AM,203.415.679-06,62420119867,ACC,BRASILEIRO(A),LUIZ MIGUEL ARAÚJO,SRA. PIETRA VIANA
LAVÍNIA MACHADO,26/09/1999,"04/11/1996, DA ROCHA, SP",13/05/2025,05/04/2033,SP51517418 SSP SP,746.309.215-16,81821057453,B,BRASILEIRO(A),EMANUEL PINTO,LAVÍNIA VASCONCELOS
MARIA LAURA MARTINS,15/03/1997,"24/08/2007, FARIAS, PA",08/11/2025,11/09/2030,PA52607452 SSP PA,950.482.716-02,11421944270,BE,BRASILEIRO(A),LORENZO NOVAIS,ANA CECÍLIA SÁ
OLIVIA SAMPAIO,07/07/2006,"06/10/1961, DA CUNHA DA PRAIA, RS",25/08/2024,30/12/2031,RS35648156 SSP RS,034.925.618-70,56697964084,B1,BRASILEIRO(A),LUCAS GABRIEL SANTOS,CLARICE CARVALHO
DIOGO PEREIRA,01/09/2001,"04/06/1969, CAVALCANTE, AM",17/04/2021,11/02/2027,AM52125216 SSP AM,967.234.580-10,59517607044,C1E,BRASILEIRO(A),ASAFE SOUZA,HADASSA MORAES
ANTONELLA PASTOR,12/11/2002,"30/07/1964, MONTENEGRO DA PRAIA, PA",13/05/2023,17/01/2031,PA29529230 SSP PA,364.572.801-53,26122171432,B,BRASILEIRO(A),DR. ANTONY CASTRO,LORENA REZENDE
MATEUS FARIAS,22/02/2003,"02/07/1982, CASSIANO, AM",14/04/2021,27/09/2026,AM58922009 SSP AM,578.123.096-30,80499175469,B1,BRASILEIRO(A),ANDRÉ ALBUQUERQUE,GABRIELLY MACEDO
RAFAELA CASTRO,22/08/1996,"29/02/1988, SOUZA DAS PEDRAS, TO",06/11/2025,17/12/2031,TO99423661 SSP TO,251.764.039-43,63795822065,DE,BRASILEIRO(A),MIGUEL GUERRA,DRA. ANA CAROLINA MORAES
LUNNA MOURA,07/01/2000,"11/01/1985, NOVAIS DE CALDEIRA, BA",08/08/2021,08/11/2029,BA72194891 SSP BA,918.762.450-85,57271200320,B,BRASILEIRO(A),SR. JUAN COSTA,MARIA LIZ BARROS
RHAVI OLIVEIRA,26/09/1998,"02/11/1985, GARCIA DE ABREU, PB",04/07/2021,01/02/2026,PB12019725 SSP PB,623.580.974-38,65580219627,C1,BRASILEIRO(A),LORENZO MARQUES,ANA BEATRIZ REZENDE
NICOLE SIQUEIRA,03/08/2004,"11/09/1980, PEREIRA, AC",19/12/2024,13/06/2033,AC14701572 SSP AC,673.058.429-74,26167078150,A1,BRASILEIRO(A),KAIQUE AZEVEDO,BELLA CIRINO
ANA BEATRIZ DA ROSA,27/02/2001,"14/06/1962, CORREIA DE GOIÁS, RN",06/02/2025,27/01/2034,RN90082681 SSP RN,907.835.642-10,78344506679,B,BRASILEIRO(A),DIEGO DA CRUZ,ANNA LIZ DA LUZ
JUAN MACEDO,05/11/1996,"06/07/1982, MOURA, GO",12/09/2022,08/05/2026,GO46588934 SSP GO,362.419.780-04,77515276890,ACC,BRASILEIRO(A),GUSTAVO HENRIQUE VIANA,LUANA ARAÚJO
JULIA CASTRO,27/01/2003,"04/03/1982, BARBOSA, PA",28/06/2023,02/04/2030,PA30949795 SSP PA,057.839.612-21,50065280414,BE,BRASILEIRO(A),BENJAMIN FREITAS,LAÍS DA CUNHA
DANIEL ROCHA,14/08/2004,"07/05/1989, CASTRO, AM",07/06/2023,04/11/2026,AM99934798 SSP AM,261.409.537-07,60777560541,A1,BRASILEIRO(A),BRAYAN FARIAS,AGATHA MOURA
VITÓRIA APARECIDA,03/12/2001,"02/07/1990, SOUZA PAULISTA, MG",28/06/2022,08/01/2029,MG89679802 SSP MG,610.392.874-50,20572495032,A1,BRASILEIRO(A),RAUL GUERRA,ALEXIA MARTINS
JOSÉ MIGUEL FERNANDES,24/02/2007,"26/10/1962, COSTA DAS PEDRAS, GO",29/08/2025,11/07/2030,GO77482295 SSP GO,589.623.174-19,10709260782,B1,BRASILEIRO(A),ASAFE FERREIRA,OLIVIA CAMPOS
JADE ALBUQUERQUE,10/02/1996,"04/05/1980, ALVES, SE",06/08/2022,10/08/2029,SE29167381 SSP SE,739.265.041-61,97258519745,C1,BRASILEIRO(A),RAEL FONSECA,SRA. LUIZA COSTA
YAGO MARQUES,29/11/1997,"17/05/1962, VASCONCELOS DO GALHO, AM",21/08/2025,04/05/2032,AM40527044 SSP AM,491.385.027-04,47646321821,BE,BRASILEIRO(A),YAGO MOREIRA,HELOISA SALES
SRTA. MARIA CLARA NUNES,08/10/2006,"15/08/2006, VARGAS, PE",25/05/2023,07/12/2027,PE43761546 SSP PE,619.740.358-75,85723884824,C1E,BRASILEIRO(A),BRYAN BARROS,MARIA LUÍSA PORTO
ANA LIZ MENDONÇA,17/03/1996,"19/10/2006, PEIXOTO DE GOIÁS, BA",23/12/2023,12/09/2031,BA64051708 SSP BA,296.130.847-03,98736623849,ACC,BRASILEIRO(A),NICOLAS CIRINO,MANUELLA MOREIRA
MARIA SOPHIA BARBOSA,02/01/2003,"19/01/2004, SOUSA, TO",11/05/2023,20/02/2032,TO25791019 SSP TO,538.067.241-80,21088269693,B,BRASILEIRO(A),LÉO RODRIGUES,HADASSA NASCIMENTO
DANTE PEREIRA,23/01/2007,"30/05/1994, COSTA, RJ",05/02/2023,11/09/2029,RJ15751162 SSP RJ,035.192.874-04,84662493682,CE,BRASILEIRO(A),VALENTIM NUNES,STEPHANY PORTO
LUCAS GABRIEL MACHADO,22/09/2000,"23/04/1965, ROCHA DA PRATA, TO",14/07/2021,16/03/2031,TO75649855 SSP TO,589.736.102-95,58396621648,C1,BRASILEIRO(A),PEDRO HENRIQUE LEÃO,ISABELLY FONSECA
JUAN RAMOS,25/05/2003,"23/06/1964, ARAÚJO DE MINAS, SC",15/05/2024,11/11/2033,SC81205215 SSP SC,621.405.837-44,66962521713,ACC,BRASILEIRO(A),THEODORO DA MATA,HELLENA DUARTE
DRA. BIANCA MONTENEGRO,19/10/2001,"18/06/1977, GONÇALVES DAS FLORES, RN",15/07/2024,27/06/2028,RN28186121 SSP RN,938.472.516-19,48483473267,A,BRASILEIRO(A),SR. JOÃO GUILHERME MELO,SRTA. CECÍLIA DA LUZ
JOÃO VITOR COSTA,29/09/1999,"13/10/1962, RIBEIRO, DF",28/06/2022,04/03/2027,DF56540762 SSP DF,948.752.631-55,81296151605,A,BRASILEIRO(A),THEODORO MENDONÇA,ISABEL CUNHA
GABRIELLY CAVALCANTE,03/08/2003,"23/09/1995, NOVAES, PE",09/12/2022,21/07/2032,PE94454935 SSP PE,653.914.280-33,89522079783,C1E,BRASILEIRO(A),DAVI LUCCA MORAES,SRA. ANA CAROLINA MENDES
RAVI MONTEIRO,23/09/2001,"15/09/2007, SOUZA, AL",03/12/2022,15/12/2030,AL22753251 SSP AL,846.503.712-44,54996152917,CE,BRASILEIRO(A),JUAN CASTRO,AGATHA MELO
